"RelativePath","SHA256"
".\03b_save_CRPSS_for_each_lead_and_experiment.ipynb","63A275142CBA0EA20A7531E980D8EE052C9BFE156ACA566ABA74C620B91CBA8C"
".\03c_save_CRPS_for_each_lead_and_experiment.ipynb","EED79BF52B63604794A50360FA7AB1023BA1F75F29140C9AF644B20A5FA3CBED"
".\04a_ACC_CRPSS_hitRate_CONUS.ipynb","4073B5A63F7A66A1203644659C4DC87C4DFF18969F22278408C5B97E4AEA3015"
".\04b_ACC_CRPSS_hitRate_season_CONUS.ipynb","600BC90EE2899684FF3A09A6C18DEB09FF2C64DCDD72F0AA327C50EE529F7E5C"
".\04c_KGE_CONUS.ipynb","9F4E030D1E399A190AE7F74B44CBFB51A77F6C286864C4C3F3EFD84447BAC59C"
".\04dd_Plot_permutation_test_results_UPDATE_no_bias_correction.ipynb","0B649A5D3541F2B6A1340FCC330A70E1FFDD2C2190A903DD3F1734A7AE6255D0"
".\04d_Plot_permutation_test_results_UPDATE.ipynb","9E068FFD9FEA4FB4A9F01E3FEB1A0D09AA17CC12581862061961B2FDEE89BC63"
".\04e_autocorrelation_GLEAM.ipynb","93E59309A045DD610F4CE03ABC6DF209BCC42E7EF92EA89677ED3FD8B6421F91"
".\05a_create_percentile_FULL_DISTRIBUTION_OBS_GEFS_ECMWF_v9_multi.ipynb","40191C798F318CCC33999C5EFF27A36D41FCAC3293413B19BAA00B5DB0A4830C"
".\05b_create_percentile_SMALL_DISTRIBUTION_OBS_GEFS_ECMWF_bias_corrected_v1.ipynb","293C90C88A248EB725730780FC92EA76B1B0A46B9981F88EA817093AF9A91477"
".\05c_hitRate_CONUS.ipynb","DBE727B252BC36910604D14D4CB3BDBF787162EB656C208FDE31D40212266795"
".\06a_ACC_spatial_plots_other_regions.ipynb","4A94669126E48F1371095B96FCBB7B4DF64A32C3DE032A704F2605A206B1469E"
".\06bb_ACC_CRPS_season_other_regions_bias_corrected_forecasts.ipynb","4158C06CA13439ADE68576B05346D8DDF3801CB0E055BBF12709D7A2CA53E9C9"
".\06b_ACC_CRPS_season_other_regions.ipynb","632D3D0E72956B5C19A712AA0B53F35ED5AFEAFE65DD37369B53684CE120ACA4"
".\06c_combine_regional_histograms_FIG5.ipynb","2C7B65209853DC49319F6F19E748E9DF4A619D57EEB49FBD2928F7F323A5B044"
".\07a_forecast_CRPSS_bootstraps_v1.ipynb","77AA4BA9E19729C1A9EF763F8EFA44C16509B05D82A6A391010D4ACF8F9F5334"
".\07b_plot_forecast_CRPSS_bootstraps_v1.ipynb","C5121CADA92795FF1EF30CCE5E8887B83382F768908B80E72985DFF8FDBFDD17"
".\07c_SIMULATION_sampling_v1.ipynb","531D87DCD4E0BF20B04214E68AF99637149CFAFE0CE49BB02F78B02C37C66670"
".\08a_CASE_STUDY.ipynb","3C2284BDD668EC5D3C570DE47C324A29FCFBADE182BD4FC0D4C1B2749565E4C1"
".\08bb_plot_CRPS_at_climatology_value0.ipynb","8C9F806C8D43140FA3E888C063E2096FA95E22F2CBCF8E9DEAEB3A767CABA4DE"
".\08b_forecast_CRPS_climatology_at0_make.ipynb","BBD4A73FFF7175BE9B33DAD50147436B33435B4DC575E2BDB5E81E237064735E"
".\08cc_plot_CRPS_climatology.ipynb","4ACDC978B18E0C5957D1D5D3334E475FEB72E4124952B66430982D6EDCDEE4B4"
".\08c_forecast_CRPS_climatology_make.ipynb","A984131EC468C2CE4A455FA0A0A0758AE1BABF2EBC814AD47EAC9A6060F3C4A8"
".\08dd_plot_CRPS_persistence.ipynb","F116C685B541B6FAD6D3EE889260A0908C9CF8912FBEAA829F70E8DB93CC628F"
".\08d_forecast_CRPS_persistence_make.ipynb","94E932DFDDC18145676CE1608CEBA0A938B722458C8C671561E3E401E003D34D"
".\08ee_plot_CRPS_climatology_is_raw_reforecast.ipynb","DA51A84851564FF54930210707FEEDB2EE7DC0F69608A3657C38D3E789CF178D"
".\09a_taylorDiagram.ipynb","8532302ADCF3BDA442E66AF59C651A4C755F10FDB94B96AEAAE8385B75846FBB"
".\09a_taylorDiagram_china_MSE.ipynb","C8DCB2249711DC18A3A06C3A6DF83AE72F6348B0CCED82AF17A14B5BE0757D1F"
".\09b_save_rank_histogram_for_each_lead_and_experiment.ipynb","120D4B30CF0B2C883C436938F6744E855E4B55D427F34C2CD541AA966B26FE95"
".\09b_taylorDiagram.ipynb","8532302ADCF3BDA442E66AF59C651A4C755F10FDB94B96AEAAE8385B75846FBB"
".\09c_plot_permuation_tests_small.ipynb","5AD105B764F2123FAF013B5BD37187F3181777D409BAF34DF23A0F532E4EAB14"
".\09d_random_plots.ipynb","4302E39980563784C34B11BC1C164EBFD1F2137C54CDBEFA7F1114FFCFCFF5CF"
".\10a_test_ECMWF_different_dates.ipynb","6E5785CEEC9A7A49D9B1470BB9D30E7051B0E937C7008035EC214BA0F9147E5D"
".\check_ECMWF_bias.ipynb","1BFF4CDF02A17E656884856A1458DDAD79BA0EAF842C3BA39EDD6490E2F4E5BE"
".\conda_environment_setup.yaml","685EE8F4649EF45E953A5F98D16386CFB9AA6770580AD17068721EC3C5DA2044"
".\git_log.txt","E080A096B20A14CA917108EBF992213F05A6F6A5A1C306735767BC64EBCE77BF"
".\git_status.txt","7F2472BF62020DB0E71888C605A2F8F5597F08F632A71F8CB1546687B8D0A21B"
".\PARENT_COMMIT_SHA.txt","F48E5C616CB8C004DE5F5C0CE4AEF5EF00DE0C7153D37D89ED7A3F218A2DEC90"
".\README.md","65FBF770FDE2A3CBF5DA3D2020E4C8456326440B1FB26D3DF8F0FEA012334663"
".\read_checkpoint_losses.ipynb","D3512869735DA90CFF392BAFF752465D58588D80967C5EF7D488966CBE2A7FE6"
".\save_colors_in_box.ipynb","6EECB26A2660D2E0157E02BF7BC671A673ACEDDCBEA4389BC88FCCAD5488B71F"
".\Data\EMOS\R_scripts\config_FD.py","2A6F6EFAC11591668940779FE338E17E96821B2E1326D007C78288DC32E070E0"
".\Data\EMOS\R_scripts\convert_fitted_EMOS_to_netcdf_all_dates.py","B7DDB2847C73E2630252B53DAC5C3D5246723F94336B05C5BDDE461E3F987A1F"
".\Data\EMOS\R_scripts\convert_fitted_EMOS_to_netcdf_test_dataset_only_after_2017.py","BC6582DEC3A2F46846BBC74B9D1B0E6E2777F30A04FFAD02C316732421514447"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_before_and_after_from_all_years_mclapply_easley14.R","E9C02E312B723468AC6E3BFA7CEEE988B06F85454C5D7E20D39985FA051A0EAE"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_before_and_after_from_all_years_mclapply_easley21.R","D28A919FF320616DF92827066B0C41C2248E872E0C6DE4D26500E459F3FD9E17"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_before_and_after_from_all_years_mclapply_easley28.R","06B7A2530942B8A5ACFCFD60AB0D443CE763A7D74BECAB8C586F35719F78B9D1"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_before_and_after_from_all_years_mclapply_easley35.R","CC233DA35D1E85D437171E402DFFEAA1F0091421A8E15F9587F6D2EC50B12C39"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_before_and_after_from_all_years_mclapply_easley7.R","F9683FF3FF8D6E331AADD7A8581495C5981663C959A0446FC4F537BB3633DF87"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_from_all_years_mclapply_easley14.R","527921F649CFD109873FA4CC162F47B9B34B0B01CA51F03B713AB9CF73836F57"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_from_all_years_mclapply_easley21.R","2D30D20BB38DEC22F69992BCAE3370B5EDF76A5D79575CCE41F71DE48F4D8BE0"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_from_all_years_mclapply_easley28.R","58E825E96FC84884457F05B445EF63EEC2749C6F4F00487AE1475638E99613B6"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_from_all_years_mclapply_easley35.R","5CB977C14C53B75B54CD1C479530757DD91A667AA0BC796E6EE82AF0F79FCC09"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_12_weeks_from_all_years_mclapply_easley7.R","1843428154AA826B5F56A5911E87873A606B4B4EC8D20FF7F500CE2E08840257"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_and_validation_mclapply_easley14.R","2E592501D59A87E8E4B38F7071432E947396BCD24281A08D413E55700392AFAE"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_and_validation_mclapply_easley21.R","CBDF8CA508A131D77444C722988B347FE81E74CAB07A2982EE204C4947AB03E3"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_and_validation_mclapply_easley28.R","47E9A7648469EDADD7824CF94D7249EA173BD3BD5E45869ACF535A2688B4FCBE"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_and_validation_mclapply_easley35.R","E7DE6D1ECDC8D2867B030376F11ECDB8C95CE68AF073B5C5622B387F109BF50E"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_and_validation_mclapply_easley7.R","7C65ED96376AE075C52961646012566DF0C89F6EF4C6E60092AFB72F3DF6B3D5"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_mclapply_easley14.R","712D5C14450D027A900E30420D02AA98A7F4753F502DA6A3569208261E3AF51B"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_mclapply_easley21.R","467A0376FADBB08553804831144BADCECEB5E27F719F8E11D0D390CB0F5E7190"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_mclapply_easley28.R","76E5EE1ABBA8703C1FE11012599DF8A112893163CAE1335E92298A5BC6B0AFEF"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_mclapply_easley35.R","9F509A204F1DECBF7A4965A064978F4C5B7947AB2B5FAEBEB7FF046542F1F8D8"
".\Data\EMOS\R_scripts\emos_test_by_grid_cell_train_on_all_training_mclapply_easley7.R","CBECAB208B622251E9E8FD1F4FA4AE9DB38101A0DE3B036C17F8874C41020AA4"
".\Data\EMOS\R_scripts\run14.sh","AD9DCBF0E1DA2D19212A6DA1B56D736567FD9F7E27BCCE4AC3C23C718B506A61"
".\Data\EMOS\R_scripts\run21.sh","CE8B50DAA0B964A7775277B2D10B45A14900BA08C88FDBE6907B0648FCC9BF99"
".\Data\EMOS\R_scripts\run28.sh","236C85BA948532AE923B6A97EC6330F9BEBE80041F66A1F2F667167CC72BB6A8"
".\Data\EMOS\R_scripts\run35.sh","51302F9FEA4B26BB72650319C53FFCDAE68C013BFA4C22A7BB2E92E7F34F17C2"
".\Data\EMOS\R_scripts\run7.sh","FF02E8DD0E9C750FA94704C736C0C2923D968FF4A7323965D71655FA021B697E"
".\Data\EMOS\R_scripts\setup_for_emos.py","0AA4D6E0D91A9E125B7419926C408C743FE44C5F1B28EF599D956FAAB30E5B37"
".\Data\masks\australia_0.5_grid.grd","00D7D92AFB14A53A104BF8AE0BEEC9D7B4AF46E215192867EE25A6AD84A3F369"
".\Data\masks\australia_mask.nc4","21D2D594C14E4BA0BA5529566CE370127C7686A6B17652F4A5A4CFC2C1F219FC"
".\Data\masks\check_masks.ipynb","F050B39244FC582E22291D61CE4AE36A48082857DDF01924348D21C2213DB753"
".\Data\masks\china_0.5_grid.grd","A4670E3C09D01F89037DA2A0BA325374F0345C3BD80A515C3E919A980321E1FD"
".\Data\masks\china_mask.nc4","509565E9BDDC6DBE7799B22F57D426C1EC69B759B3BA3DD01F5886A41AF9D21F"
".\Data\masks\conus_0.5_grid.grd","7399AC4733A5366AC2BE4E75865A31A2A7F04ADB451B0CA95AB409366418C65D"
".\Data\masks\conus_mask.nc4","58359A7073A5592A865CE3EDD4813567E2CF3B39AF6A33A962E1945893E0FAA6"
".\Data\masks\conus_weights_GEFSv12.nc","4AE8CFAB514AF82EAC97D1B30069F8BCC257250799DB90F0D851832456B58FBB"
".\Data\masks\conus_weights_hgt_d10_GEFSv12.nc","FC71570DD368B27FCC821E5D1EBB5B66AA16E698B9E17B412CB68256EA7A2FFE"
".\Data\masks\conus_weights_hgt_d35_GEFSv12.nc","BD5350DDB0752F76DE954F40757144ECB008F00CEFA0C59074F4284CF5B9F464"
".\Data\masks\conus_weights_hgt_GEFSv12.nc","FC71570DD368B27FCC821E5D1EBB5B66AA16E698B9E17B412CB68256EA7A2FFE"
".\Data\masks\NH_grid.nc","A20839DB954C315527830A6F43BD552E76B431A5FFDA106EEC001B4B8C6849F0"
".\Data\masks\Northern_Hemisphere_0.5grid.grd","6A1436AFDDC0390ABFD74F59788283AAFCA37C8BB39041A564690F2044A3EC49"
".\Data\masks\region_CONUS_mask.nc4","6A2CDC3CBA5DB55663784126F8BD221D6ABEBC47CEF7587215B4289CDC7CF580"
".\Data\raw_downloads\ECMWF\01_download_data_updated.ipynb","CE104E1A0D098456A790EDF21935096EB394CDDCA90074D34DE7A31BA7E40990"
".\Data\raw_downloads\ECMWF\02_process_data_and_merge_and_regrid_v4.ipynb","0F7E3844A860CB542F9ACA7E18CD9928D8204D6D0F175F6912BA1E9087286165"
".\Data\raw_downloads\ECMWF\02_process_data_and_merge_and_regrid_with_aus.ipynb","350586071B08EA16F4A98B94B47F61629025417241B2123BDD1F1B28010F804F"
".\Data\raw_downloads\ECMWF\03_make_anomalies_and_save.ipynb","9916D747768E69F3E3B54E7781B868B07BCCDC5043E980510176A2424D002515"
".\Data\raw_downloads\ECMWF\check_to_see_if_files_are_good.ipynb","BF339DCE49E948CAD0DCBA4058E4F14BD64981608ACBDDBCEB3EA4E101BF2FC2"
".\Data\raw_downloads\ECMWF\download_data_update.py","9DA8CBE0E2EE40E9D0CA3F36B18A38B75D4DDB420378395A79B676572FD12905"
".\Data\raw_downloads\ECMWF\good_model_dates.txt","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
".\Data\raw_downloads\ECMWF\run_download.sh","B239E9348ED1A7BAA54F3755D5F57D59AF7254CD8C6DCB9F6F6707E4BBBE4C07"
".\Data\raw_downloads\ERA5\1A_preprocess_files_RAW_ERA5_china.sh","AFF21104AB8D00F0656902590FBCD2B5A72CA0785C4C4780C63F2C810009F7C2"
".\Data\raw_downloads\ERA5\process_soil.sh","B39DAB5298F14657D75F1D087E91EB5C871D9B381518AC4935190FA97ACC3E37"
".\Data\raw_downloads\ERA5\run_download.sh","0BAD1B3254FE9D661EF360501BB3D0BBF4B7BF09E983E850CE43F0020EF31DF7"
".\Data\raw_downloads\ERA5\run_download_soil.sh","2C83B8548E0F06C42F95E036E1BF6C49F9532499E3CF45282E7B8212064B7CD4"
".\Data\raw_downloads\ERA5\raw_soil_moisture\archived_data.sh","8DF87E4F10891B28E8869CE86FBC58D34CF052ACAEDF267644E735844A07C751"
".\Data\raw_downloads\ERA5\raw_soil_moisture\correct_dates.sh","D1C16B4AB9A6787DB9358CF05D578B8181049FF69949FAC28D19BA85D9637B60"
".\Data\raw_downloads\ERA5\raw_soil_moisture\day2.sh","3DD20EA487AA2783935B112382EB3C598CFAA51C07EF126F1BEFA1CFF90F023B"
".\Data\raw_downloads\ERA5\raw_soil_moisture\daymean\mergetime.sh","D8FA76FA3D72C095E7B12FE1FFA7CB5497F262969731435FED88C9A18794D479"
".\Data\raw_downloads\ERA5\raw_soil_moisture\daymean\merge\scaled.sh","BABF2E4F43E3965878F0F7B89966E834F2CD07D6A414608ED790101869BCFF73"
".\Data\raw_downloads\ERA5\raw_soil_moisture\daymean\merge\test.sh","62FDBAB377D31D3F5C565A8F062E2A227519435C69C737F896CD5B260478CE95"
".\Data\raw_downloads\ERA5_real\1A_preprocess_files_RAW_ERA5_china.sh","AFF21104AB8D00F0656902590FBCD2B5A72CA0785C4C4780C63F2C810009F7C2"
".\Data\raw_downloads\ERA5_real\multi_month_china_download_ERA.py","2602747570B3FA49E9A11025EBEC83210206076F76C8401A9BF1F0057DAFACA9"
".\Data\raw_downloads\ERA5_real\multi_month_china_download_soil_ERA.py","4CCAAE2F2299F60F2325854E8FFF822AEFE99F8EB7C457EC2AC2DBA6F4F4A5A4"
".\Data\raw_downloads\ERA5_real\process_soil.sh","B39DAB5298F14657D75F1D087E91EB5C871D9B381518AC4935190FA97ACC3E37"
".\Data\raw_downloads\ERA5_real\run_download.sh","0BAD1B3254FE9D661EF360501BB3D0BBF4B7BF09E983E850CE43F0020EF31DF7"
".\Data\raw_downloads\ERA5_real\run_download_soil.sh","2C83B8548E0F06C42F95E036E1BF6C49F9532499E3CF45282E7B8212064B7CD4"
".\Data\raw_downloads\ERA5_real\soil_test.py","3D53B381FFBFDA6D7CDC8083A3A4036F843DE5A6E001AA4B5907428E81753306"
".\Data\raw_downloads\ERA5_real\raw_soil_moisture\day2.sh","3DD20EA487AA2783935B112382EB3C598CFAA51C07EF126F1BEFA1CFF90F023B"
".\Data\raw_downloads\ERA5_real\raw_soil_moisture\daymean\mergetime.sh","D8FA76FA3D72C095E7B12FE1FFA7CB5497F262969731435FED88C9A18794D479"
".\Data\raw_downloads\ERA5_real\raw_soil_moisture\daymean\merge\scaled.sh","BABF2E4F43E3965878F0F7B89966E834F2CD07D6A414608ED790101869BCFF73"
".\Data\raw_downloads\ERA5_real\raw_soil_moisture\daymean\merge\scaled\create_subset_australia.sh","A71C22A1BC76B108A6171C77234B192B450C22D234ABF0EBDD946858D21654F3"
".\Data\raw_downloads\ERA5_real\raw_soil_moisture\daymean\merge\scaled\create_subset_china.sh","3E4D292B38E6A0C3F066A1DB269AEB8F72FD65BFFD177781FB9C64E215F1A25A"
".\Data\raw_downloads\ERA5_real\raw_soil_moisture\daymean\merge\scaled\create_subset_conus.sh","4B39BBFEB2A1D45D02E4F54B29E61F59841B3A13235D4C0A1B2E3AEF33676FDD"
".\Data\raw_downloads\GEFSv12\check_merged_files.ipynb","DD4CC87679CE581DAC1A9C04CB627CAAC44498A8C58103EE26A1875EB3339A6F"
".\Data\raw_downloads\GEFSv12\create_wget_scripts.py","85068496E0D0EDFA3DAF71B905802A44A2A9290E66C6B9978FAD78A447AE9B26"
".\Data\raw_downloads\GEFSv12\merge_GEFS.ipynb","641367ADCF4D0CACFBEB18769E6C51F8465FED6F1D135D22BB596D64CCD8A185"
".\Data\raw_downloads\GEFSv12\merge_GEFS_all_regions.ipynb","DF351F1D7BB90C9BF0E7B856A95B42CF525BD298763AB6546453B0381E785909"
".\Data\raw_downloads\GEFSv12\run_parallel_all_regions.sh","4809E5CADF66236AA9FB8E740A7828DB1A38C27345074FDD0027E4A6C001C274"
".\Data\raw_downloads\GEFSv12\run_parallel_all_regions_D10_dates_precomputedWeights.sh","AD312A83CB0D9278EAB8832F8FD712F38FAB476F5B15F4AF87B9CCA4E3C3E15A"
".\Data\raw_downloads\GEFSv12\run_parallel_all_regions_D35_dates_precomputedWeights.sh","926650FA2196853C2405D7C12761CE8766B1265541C16B46E364F281F17103D8"
".\Data\raw_downloads\GLEAM\download_GLEAM_sftp.ipynb","A6D92E81761C4ED6FEBA40685192A805C08953BCC27686648BE8019F3AC0F7DB"
".\Data\raw_downloads\GLEAM\reformat_GLEAM_info_to_regrid.sh","073091D6557B8D78029B2636AB278CC3B5A80A5BA79A7E14F447CBE0DD9EB099"
".\Data\raw_downloads\GLEAM\direct_copy_raw_files\merge_files.sh","3975874380184EF05556A406215E1431D7159D65798B82B16F919DFF5858E4A7"
".\Data\raw_downloads\GLEAM\direct_copy_raw_files\reformat_GLEAM_info_to_regrid.sh","E8B4172FAC50A935BCCD43C86C350143D7C0727EC0A4EDE6EDBA064C8174D46A"
".\Data\raw_downloads\GLEAM\direct_copy_raw_files\remap_0.5.grd","D9931FDFE0A7E0A05CDB1831C206E523089D08438BB92125CF45FA5B66736082"
".\Data\raw_downloads\GLEAM\direct_copy_raw_files\.ipynb_checkpoints\Untitled-checkpoint.ipynb","BAC96EFEB35C4A3E4AEDE633FEB7A3BF44DE961F3651AF5055DDF91179FEDDB4"
".\function\addPredictors.py","632592388B40C4548EA723FE7720561B49619AA41F2A3B95603F2CD8A14AFD5C"
".\function\addPredictorsMean.py","EF9EB3563F90F64E33FFABEE3D413329617A42A8EDEC83A2F09901F26B8FC6FD"
".\function\addPredictorstimeseriesclass.py","A2A2493EAB46AD517632C2F23CB77DF516E15ECDD84EAE7574714042AE550F96"
".\function\basicUNET.py","1C59340F4D6DF48847196F58A1F40AB3A2DAF812852556F0240E749BCEB4643F"
".\function\caseUtils.py","AB3E4553A1BD5A89736F3AB6B756835412380EA1FE0C371E750247690D1EC320"
".\function\channelExperiment.py","537BC86810F8BF1F7CC013EE216A43357BE001612FAFBE93FB7701D04C8E9B3C"
".\function\conf.py","646E305231618147ADAC973102A41C0CA0E6BCB59178A08A4B972D1A28B06058"
".\function\dataLoad.py","57307AB66999506B2604366165C69BC08F129E6CA711A344A41342573AC5D05D"
".\function\denseValue.py","93FC8F2F696E3DC46C0F88DEA8E05B8A052E71AA265C8BAFAAEE96C1C3DB3380"
".\function\experimentType.py","19BAAE2841852E2077BB97945C5C6FC713C70C01BB4CE7B01FE02CD51C626725"
".\function\funs.py","9D7930F79BAE7ECC91FA7CF4F8504584A1131C89F305874087CC98ED387D236A"
".\function\loadbias.py","4D83DDE4DC6D7F9CC30C9BAD42916E9A8A5BAE53401EC0EC708C920B200483DB"
".\function\loadDataAllWeeks.py","B9D24A85F3CF90F3964A7267E10EA52CC664AF30564D04DC8951059965B60E42"
".\function\loadDataWeek0.py","9831809131DB7927D76E8C21AB61C2A831FB1F1165E2FE7994EBCF959D02B039"
".\function\loadDataWeek0GridCell.py","3B70850EF72C85A3E1DDC6DD7FBF7F3D0FA07CAE9E682A36C773F65F5FFFCD61"
".\function\loadEMOS.py","979EBCA870107277762D349A6206C184B01EEF39370C10714D40B7C0ED286B77"
".\function\loadValues.py","52403A770E7E2BEE5DDDD7C890BFB6CDAA3886836F842F0F10A674EF80AB8E58"
".\function\losses.py","332CAAF5DBE036370CD13A82BD01375B4FFEF8471C497DD2AC988877B284B9B6"
".\function\masks.py","5F370FAF44A16C57A21AE7DE7BE6B164E66BEE11FB7C60C19AA7AC00A9BFAAAB"
".\function\modelRzsm.py","B61C3A32A13B45C638CE5E0648CAE6D5FE783CB904F22725D89EF73C65BF38FD"
".\function\modelRzsm2Ddropout.py","5928211562E81605CAE80461777F14852166B4A8958AC0C9D1FB3E2784ECB9DA"
".\function\modelRzsm2DdropoutRelu.py","A014C7AC8410C59BB8F574D89669FDB519E83CD65BA5DE693040E7F71FD673D5"
".\function\modelRzsmBackbone4SubPixel.py","9ACB23F3350B9E6A0DCB4B2794FA2C5B7E4DC02DFC137D60CF9719A852364870"
".\function\modelRzsmBackbone4SubPixelNoPlusPlus.py","13EB71209205A44D9C0DE07CA2201BEE1ED5DDF4F3DF4D4B2F3CA023B84921C3"
".\function\modelRzsmBackbone4TESTING.py","0B635878EA18A4C79930FC730EB1D5B65466F168A76509149BDDB3C44303FF6E"
".\function\modelRzsmDenseRelu.py","D76391464136BEA583D9E1F282EE827701C60E48852A731BC1F105B9E7835763"
".\function\modelRzsmRelu.py","39E16B37E196E541BAE0A5D9DB7BE5602136487127D9E5DC91547F7E66A4815D"
".\function\modelRzsmReluAttention.py","60AEAC9C4C603A9A34E121FB59D940B574B765977F3EA094AC77F6B24A287F5D"
".\function\modelRzsmReluExtraConv.py","88805F0E34CA3434CC277BE5E10B7C83B0F274A98F67F2D7BD58C985D784F102"
".\function\modelRzsmReluExtraConvDepthwise.py","3C558CEF1161830DC03235F0C37B3EEF11EBC4EF78A884F0C698C07F1E707296"
".\function\modelRzsmReluExtraConvResidual.py","714DDF598BA82A88A16ECFD04AA7CEFCDD657D9E38D8BD1105A3C949C1FCE879"
".\function\modelRzsmReluPixelSuper.py","48017DE3E4750262CF9D1A346A0721BF9DD3A91BDA9287AC026CFA1EE2C5D0B6"
".\function\modelRzsmReluTransformer.py","9A3EF5EAAAE35D126ACB83BA59FECFB54B1E3243A10C3577A4ADEE87AE4D2391"
".\function\modelRzsmTmax.py","52671AC9BA4EDEC4196A6B7DE75B94692D5D50C9951B1E6F0BFC79C9C1EC2DD8"
".\function\percentile.py","ACCEB55088717F404A77E811F43F94FC9EDB0DCD4329607041D9013DC7A685E4"
".\function\plotCRPSS.py","4819B61C7BFEFC18ADBD31FCCF9A3DC2E2BCCCCE78D14BED51F9BC376EBBB8FF"
".\function\plotting.py","A1D51B999D390136DC5B19DAD9427EAFB8D1FE1D42904214850FE604F3BAC8A9"
".\function\preprocessUtils.py","8446572E90028EA50E0FF6885B6CE99B02BCC0B6668705F1566A29E807DED84D"
".\function\quikplot.py","DB7F7C71B7B73405AEF7B873596CE41A7377E6180D11FAD95B96D7961B75D454"
".\function\taylorDiagram.py","73F23A1EFFAD7C606BE398E9055472D24152180E91395B02933DD2879EB81957"
".\function\verifications.py","9B75A654602849EBDA99B1F8770CAFBFC8A7C95B4FAE0A732C2D2FDDD70AEF78"
".\function\__init__.py","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
".\function\.ipynb_checkpoints\addPredictors-checkpoint.py","632592388B40C4548EA723FE7720561B49619AA41F2A3B95603F2CD8A14AFD5C"
".\function\.ipynb_checkpoints\caseUtils-checkpoint.py","F1FC663710A37EA538208E4C3D9330A27B19B330189518BA40327CBDF12F06A9"
".\function\.ipynb_checkpoints\channelExperiment-checkpoint.py","537BC86810F8BF1F7CC013EE216A43357BE001612FAFBE93FB7701D04C8E9B3C"
